Function, X_shape, K, Loss Type,Execution Time
NMF_parallel,10,1, euclidean,0.04120871
NMF_serial,10,1, euclidean,0.000893927
NMF_sklearn,10,1, euclidean,0.00066061
NMF_parallel,10,1, divergence,0.048710886
NMF_serial,10,1, divergence,0.001890969
NMF_sklearn,10,1, divergence,0.00098238
NMF_parallel,10,10, euclidean,0.043115514
NMF_serial,10,10, euclidean,0.001640749
NMF_sklearn,10,10, euclidean,0.004743505
NMF_parallel,10,10, divergence,0.049598637
NMF_serial,10,10, divergence,0.003240061
NMF_sklearn,10,10, divergence,0.007972836
NMF_parallel,10,100, euclidean,0.07223753
NMF_serial,10,100, euclidean,0.009106421
NMF_sklearn,10,100, euclidean,0.016551685
NMF_parallel,10,100, divergence,0.05674003
NMF_serial,10,100, divergence,0.011681628
NMF_sklearn,10,100, divergence,0.009349155
NMF_parallel,10,1000, euclidean,0.123306474
NMF_serial,10,1000, euclidean,0.348036981
NMF_sklearn,10,1000, euclidean,0.385227513
NMF_parallel,10,1000, divergence,0.086577068
NMF_serial,10,1000, divergence,0.090189981
NMF_sklearn,10,1000, divergence,0.043034124
NMF_parallel,50,1, euclidean,0.042259724
NMF_serial,50,1, euclidean,0.001182365
NMF_sklearn,50,1, euclidean,0.000755858
NMF_parallel,50,1, divergence,0.050596064
NMF_serial,50,1, divergence,0.002676153
NMF_sklearn,50,1, divergence,0.00154953
NMF_parallel,50,10, euclidean,0.044020099
NMF_serial,50,10, euclidean,0.009039354
NMF_sklearn,50,10, euclidean,0.00907855
NMF_parallel,50,10, divergence,0.051161676
NMF_serial,50,10, divergence,0.007327199
NMF_sklearn,50,10, divergence,0.013930774
NMF_parallel,50,100, euclidean,0.073801793
NMF_serial,50,100, euclidean,0.045923901
NMF_sklearn,50,100, euclidean,0.04907403
NMF_parallel,50,100, divergence,0.059594016
NMF_serial,50,100, divergence,0.135127759
NMF_sklearn,50,100, divergence,0.141110516
NMF_parallel,50,1000, euclidean,0.149451683
NMF_serial,50,1000, euclidean,0.555839443
NMF_sklearn,50,1000, euclidean,0.581864905
NMF_parallel,50,1000, divergence,0.121814685
NMF_serial,50,1000, divergence,0.750932336
NMF_sklearn,50,1000, divergence,0.56771102
NMF_parallel,100,1, euclidean,0.076477763
NMF_serial,100,1, euclidean,0.004086995
NMF_sklearn,100,1, euclidean,0.001547956
NMF_parallel,100,1, divergence,0.088652975
NMF_serial,100,1, divergence,0.008722258
NMF_sklearn,100,1, divergence,0.003485179
NMF_parallel,100,10, euclidean,0.050789584
NMF_serial,100,10, euclidean,0.008876467
NMF_sklearn,100,10, euclidean,0.009947205
NMF_parallel,100,10, divergence,0.054674326
NMF_serial,100,10, divergence,0.010674071
NMF_sklearn,100,10, divergence,0.01891017
NMF_parallel,100,100, euclidean,0.078060281
NMF_serial,100,100, euclidean,0.26735487
NMF_sklearn,100,100, euclidean,0.212441254
NMF_parallel,100,100, divergence,0.096351981
NMF_serial,100,100, divergence,0.182259321
NMF_sklearn,100,100, divergence,0.209632635
NMF_parallel,100,1000, euclidean,0.219932388
NMF_serial,100,1000, euclidean,1.144168878
NMF_sklearn,100,1000, euclidean,1.152194762
NMF_parallel,100,1000, divergence,0.139097488
NMF_serial,100,1000, divergence,1.671267843
NMF_sklearn,100,1000, divergence,1.515168977
NMF_parallel,500,1, euclidean,0.106028909
NMF_serial,500,1, euclidean,0.033011484
NMF_sklearn,500,1, euclidean,0.004632139
NMF_parallel,500,1, divergence,0.118210155
NMF_serial,500,1, divergence,0.106191254
NMF_sklearn,500,1, divergence,0.040238118
NMF_parallel,500,10, euclidean,0.10555505
NMF_serial,500,10, euclidean,0.085963893
NMF_sklearn,500,10, euclidean,0.06734941
NMF_parallel,500,10, divergence,0.120028663
NMF_serial,500,10, divergence,0.149119377
NMF_sklearn,500,10, divergence,0.261019397
NMF_parallel,500,100, euclidean,0.15095508
NMF_serial,500,100, euclidean,0.793411684
NMF_sklearn,500,100, euclidean,0.474214959
NMF_parallel,500,100, divergence,0.159875858
NMF_serial,500,100, divergence,0.59734621
NMF_sklearn,500,100, divergence,0.782243562
NMF_parallel,500,1000, euclidean,0.652073944
NMF_serial,500,1000, euclidean,36.36036527
NMF_sklearn,500,1000, euclidean,25.81064346
NMF_parallel,500,1000, divergence,0.436980951
NMF_serial,500,1000, divergence,25.79015028
NMF_sklearn,500,1000, divergence,26.22424033
NMF_parallel,1000,1, euclidean,0.138136784
NMF_serial,1000,1, euclidean,0.085123515
NMF_sklearn,1000,1, euclidean,0.011341643
NMF_parallel,1000,1, divergence,0.151436002
NMF_serial,1000,1, divergence,0.363982201
NMF_sklearn,1000,1, divergence,0.197055387
NMF_parallel,1000,10, euclidean,0.143691661
NMF_serial,1000,10, euclidean,0.294022894
NMF_sklearn,1000,10, euclidean,0.197688961
NMF_parallel,1000,10, divergence,0.164149362
NMF_serial,1000,10, divergence,0.522626567
NMF_sklearn,1000,10, divergence,0.921846914
NMF_parallel,1000,100, euclidean,0.206535789
NMF_serial,1000,100, euclidean,0.860449195
NMF_sklearn,1000,100, euclidean,0.554666519
NMF_parallel,1000,100, divergence,0.334869406
NMF_serial,1000,100, divergence,1.032961392
NMF_sklearn,1000,100, divergence,1.47795918
NMF_parallel,1000,1000, euclidean,1.672859045
NMF_serial,1000,1000, euclidean,126.5047616
NMF_sklearn,1000,1000, euclidean,91.80213454
NMF_parallel,1000,1000, divergence,1.190114624
NMF_serial,1000,1000, divergence,47.70657263
NMF_sklearn,1000,1000, divergence,52.04836407
NMF_parallel,5000,1, euclidean,0.94635163
NMF_serial,5000,1, euclidean,5.39797616
NMF_sklearn,5000,1, euclidean,0.498785806
NMF_parallel,5000,1, divergence,1.383390613
NMF_serial,5000,1, divergence,23.42454422
NMF_sklearn,5000,1, divergence,6.14117527
NMF_parallel,5000,10, euclidean,0.972067291
NMF_serial,5000,10, euclidean,10.30143516
NMF_sklearn,5000,10, euclidean,5.514632797
NMF_parallel,5000,10, divergence,1.410717688
NMF_serial,5000,10, divergence,26.92521157
NMF_sklearn,5000,10, divergence,38.34653156
NMF_parallel,5000,100, euclidean,3.1512354
NMF_serial,5000,100, euclidean,20.06878386
NMF_sklearn,5000,100, euclidean,10.92336755
NMF_parallel,5000,100, divergence,3.574148779
NMF_serial,5000,100, divergence,36.60181463
NMF_sklearn,5000,100, divergence,48.1401614
NMF_parallel,5000,1000, euclidean,28.26629492
NMF_serial,5000,1000, euclidean,142.1715302
NMF_sklearn,5000,1000, euclidean,92.18601918
NMF_parallel,5000,1000, divergence,26.85336289
NMF_serial,5000,1000, divergence,148.0317919
NMF_sklearn,5000,1000, divergence,163.3109382
NMF_parallel,10000,1, euclidean,3.250833008
NMF_serial,10000,1, euclidean,21.55693138
NMF_sklearn,10000,1, euclidean,1.793971372
NMF_parallel,10000,1, divergence,5.058975781
NMF_serial,10000,1, divergence,82.16619663
NMF_sklearn,10000,1, divergence,23.57875495
NMF_parallel,10000,10, euclidean,3.3362073
NMF_serial,10000,10, euclidean,40.71775494
NMF_sklearn,10000,10, euclidean,4.109000134
NMF_parallel,10000,10, divergence,5.129283057
NMF_serial,10000,10, divergence,95.65252125
NMF_sklearn,10000,10, divergence,27.05773396